ID,Vinardo
CHEMBL1630114_smina_3,-9.38466
CHEMBL1630114_smina_4,-8.31416
CHEMBL1630114_smina_5,-8.50433
CHEMBL1630114_smina_6,-10.07389
CHEMBL1630114_smina_7,-9.30158
CHEMBL1630114_smina_8,-9.80850
CHEMBL1630114_smina_9,-8.60788
CHEMBL1630114_smina_10,-10.40877
CHEMBL1645466_smina_1,-7.92242
CHEMBL1645466_smina_2,-7.63173
CHEMBL1645466_smina_3,-7.49693
CHEMBL1645466_smina_4,-6.87881
CHEMBL1645466_smina_5,-6.25341
CHEMBL1645466_smina_6,-6.42892
CHEMBL1645466_smina_7,-5.53579
CHEMBL1645466_smina_8,-7.89441
CHEMBL1645466_smina_9,-7.15078
CHEMBL1645466_smina_10,-6.18643
CHEMBL166093_smina_1,-8.60887
CHEMBL166093_smina_2,-7.98332
CHEMBL166093_smina_3,-8.33193
CHEMBL166093_smina_4,-7.03697
CHEMBL166093_smina_5,-7.23564
CHEMBL166093_smina_6,-7.16748
CHEMBL166093_smina_7,-7.12149
CHEMBL166093_smina_8,-6.12433
CHEMBL166093_smina_9,-7.23942
CHEMBL166093_smina_10,-7.81171
CHEMBL1683968_smina_1,-7.76090
CHEMBL1683968_smina_2,-8.03123
CHEMBL1683968_smina_3,-8.14190
CHEMBL1683968_smina_4,-6.64892
CHEMBL1683968_smina_5,-7.78157
CHEMBL1683968_smina_6,-7.43426
CHEMBL1683968_smina_7,-7.33985
CHEMBL1683968_smina_8,-8.89350
CHEMBL1683968_smina_9,-8.75028
CHEMBL1683968_smina_10,-8.81249
CHEMBL176470_smina_1,-7.82287
CHEMBL176470_smina_2,-8.94517
CHEMBL176470_smina_3,-8.19888
CHEMBL176470_smina_4,-6.18419
CHEMBL176470_smina_5,-7.36031
CHEMBL176470_smina_6,-7.17739
CHEMBL176470_smina_7,-7.19918
CHEMBL176470_smina_8,-5.96006
CHEMBL176470_smina_9,-6.46724
CHEMBL176470_smina_10,-7.33116
CHEMBL1821886_smina_1,-7.99982
CHEMBL1821886_smina_2,-8.03714
CHEMBL1821886_smina_3,-8.00328
CHEMBL1821886_smina_4,-8.30091
CHEMBL1821886_smina_5,-8.88851
CHEMBL1821886_smina_6,-9.12921
CHEMBL1821886_smina_7,-5.61833
CHEMBL1821886_smina_8,-5.90396
